tweet_id,favorites,retweets,user_followers,user_favourites,date_time
892420643555336193,38215,8372,7434157,139632,2017-08-01 16:23:56
892177421306343426,32764,6181,7434157,139632,2017-08-01 00:17:27
891815181378084864,24670,4090,7434157,139632,2017-07-31 00:18:03
891689557279858688,41544,8508,7434157,139632,2017-07-30 15:58:51
891327558926688256,39727,9216,7434157,139632,2017-07-29 16:00:24
891087950875897856,19942,3065,7434157,139632,2017-07-29 00:08:17
890971913173991426,11672,2034,7434157,139632,2017-07-28 16:27:12
890729181411237888,64485,18579,7434157,139632,2017-07-28 00:22:40
890609185150312448,27409,4206,7434157,139632,2017-07-27 16:25:51
890240255349198849,31449,7273,7434157,139632,2017-07-26 15:59:51
890006608113172480,30237,7220,7434157,139632,2017-07-26 00:31:25
889880896479866881,27393,4899,7434157,139632,2017-07-25 16:11:53
889665388333682689,47433,9903,7434157,139632,2017-07-25 01:55:32
889638837579907072,26784,4476,7434157,139632,2017-07-25 00:10:02
889531135344209921,14888,2208,7434157,139632,2017-07-24 17:02:04
889278841981685760,24891,5292,7434157,139632,2017-07-24 00:19:32
888917238123831296,28674,4424,7434157,139632,2017-07-23 00:22:39
888804989199671297,25198,4225,7434157,139632,2017-07-22 16:56:37
888554962724278272,19548,3493,7434157,139632,2017-07-22 00:23:06
888078434458587136,21447,3445,7434157,139632,2017-07-20 16:49:33
887705289381826560,29750,5307,7434157,139632,2017-07-19 16:06:48
887517139158093824,45615,11491,7434157,139632,2017-07-19 03:39:09
887473957103951883,68113,17910,7434157,139632,2017-07-19 00:47:34
887343217045368832,33209,10246,7434157,139632,2017-07-18 16:08:03
887101392804085760,30133,5875,7434157,139632,2017-07-18 00:07:08
886983233522544640,34667,7657,7434157,139632,2017-07-17 16:17:36
886736880519319552,11878,3232,7434157,139632,2017-07-16 23:58:41
886680336477933568,22121,4396,7434157,139632,2017-07-16 20:14:00
886366144734445568,20883,3151,7434157,139632,2017-07-15 23:25:31
886267009285017600,116,4,7434157,139632,2017-07-15 16:51:35
886258384151887873,27597,6189,7434157,139632,2017-07-15 16:17:19
886054160059072513,0,105,7434157,139632,2017-07-15 02:45:48
885984800019947520,32205,6697,7434157,139632,2017-07-14 22:10:11
885528943205470208,35472,6332,7434157,139632,2017-07-13 15:58:47
885518971528720385,20145,3704,7434157,139632,2017-07-13 15:19:09
885311592912609280,0,18299,7434157,139632,2017-07-13 01:35:06
885167619883638784,21620,4316,7434157,139632,2017-07-12 16:03:00
884925521741709313,76387,18018,7434157,139632,2017-07-12 00:01:00
884876753390489601,27533,5566,7434157,139632,2017-07-11 20:47:12
884562892145688576,23972,4662,7434157,139632,2017-07-11 00:00:02
884441805382717440,26619,5574,7434157,139632,2017-07-10 15:58:53
884247878851493888,72025,20164,7434157,139632,2017-07-10 03:08:17
884162670584377345,20083,2945,7434157,139632,2017-07-09 21:29:42
883838122936631299,21603,3399,7434157,139632,2017-07-09 00:00:04
883482846933004288,45281,9808,7434157,139632,2017-07-08 00:28:19
883360690899218434,22254,3624,7434157,139632,2017-07-07 16:22:55
883117836046086144,36681,6580,7434157,139632,2017-07-07 00:17:54
882992080364220416,23634,3865,7434157,139632,2017-07-06 15:58:11
882762694511734784,27925,4849,7434157,139632,2017-07-06 00:46:41
882627270321602560,27524,6001,7434157,139632,2017-07-05 15:48:34
882268110199369728,44358,11440,7434157,139632,2017-07-04 16:01:23
882045870035918850,28963,4903,7434157,139632,2017-07-04 01:18:17
881906580714921986,23986,3348,7434157,139632,2017-07-03 16:04:48
881666595344535552,49909,10520,7434157,139632,2017-07-03 00:11:11
881633300179243008,124,7,7434157,139632,2017-07-02 21:58:53
881536004380872706,48784,15729,7434157,139632,2017-07-02 15:32:16
881268444196462592,22776,5100,7434157,139632,2017-07-01 21:49:04
880935762899988482,16787,2748,7434157,139632,2017-06-30 23:47:07
880872448815771648,20995,3767,7434157,139632,2017-06-30 19:35:32
880465832366813184,28150,6195,7434157,139632,2017-06-29 16:39:47
880221127280381952,26711,4165,7434157,139632,2017-06-29 00:27:25
880095782870896641,27277,4304,7434157,139632,2017-06-28 16:09:20
879862464715927552,22030,3454,7434157,139632,2017-06-28 00:42:13
879674319642796034,308,10,7434157,139632,2017-06-27 12:14:36
879492040517615616,23113,3143,7434157,139632,2017-06-27 00:10:17
879415818425184262,104479,43654,7434157,139632,2017-06-26 19:07:24
879376492567855104,16556,3080,7434157,139632,2017-06-26 16:31:08
879130579576475649,0,6743,7434157,139632,2017-06-26 00:13:58
879050749262655488,22279,4664,7434157,139632,2017-06-25 18:56:45
879008229531029506,18738,2664,7434726,139633,2017-06-25 16:07:47
878776093423087618,19159,4080,7434157,139632,2017-06-25 00:45:22
878604707211726852,29884,7117,7434157,139632,2017-06-24 13:24:20
878404777348136964,0,1274,7434726,139633,2017-06-24 00:09:53
878316110768087041,0,6579,7434157,139632,2017-06-23 18:17:33
878281511006478336,7652,1274,7434157,139632,2017-06-23 16:00:04
878057613040115712,41499,6743,7434157,139632,2017-06-23 01:10:23
877736472329191424,78796,18870,7434157,139632,2017-06-22 03:54:17
877611172832227328,0,80,7434157,139632,2017-06-21 19:36:23
877556246731214848,22430,3767,7434157,139632,2017-06-21 15:58:08
877316821321428993,27029,5119,7434157,139632,2017-06-21 00:06:44
877201837425926144,26777,5524,7434157,139632,2017-06-20 16:29:50
876838120628539392,20419,3311,7434157,139632,2017-06-19 16:24:33
876537666061221889,23209,4578,7434157,139632,2017-06-18 20:30:39
